order_hour,Total Cancellations,Cancelled after assignment,Cancelled before assignment,Rejected,Cancelled after assignment (%),Cancelled before assignment (%),Rejected (%)
0,2236,357,1875,4,15.966010733452594,83.8550983899821,0.17889087656529518
1,1468,311,1157,0,21.185286103542232,78.81471389645776,0.0
2,1628,247,1381,0,15.17199017199017,84.82800982800983,0.0
3,1533,199,1334,0,12.981082844096543,87.01891715590345,0.0
4,292,100,192,0,34.24657534246575,65.75342465753424,0.0
5,134,51,83,0,38.059701492537314,61.940298507462686,0.0
6,429,115,314,0,26.806526806526808,73.1934731934732,0.0
7,1632,525,1107,0,32.169117647058826,67.83088235294117,0.0
8,4110,1135,2975,0,27.61557177615572,72.38442822384428,0.0
9,1345,506,839,0,37.62081784386617,62.37918215613383,0.0
10,431,233,198,0,54.060324825986086,45.93967517401392,0.0
11,552,313,239,0,56.70289855072463,43.29710144927536,0.0
12,767,302,465,0,39.374185136897,60.625814863103,0.0
13,1158,359,799,0,31.001727115716754,68.99827288428325,0.0
14,801,309,492,0,38.57677902621723,61.42322097378277,0.0
15,1550,516,1034,0,33.29032258064516,66.70967741935485,0.0
16,966,366,599,1,37.88819875776397,62.00828157349897,0.10351966873706005
17,1738,507,1231,0,29.171461449942466,70.82853855005754,0.0
18,1287,405,882,0,31.46853146853147,68.53146853146853,0.0
19,780,332,448,0,42.56410256410256,57.43589743589743,0.0
20,1515,364,1151,0,24.026402640264028,75.97359735973598,0.0
21,2960,341,2619,0,11.52027027027027,88.47972972972973,0.0
22,2297,457,1840,0,19.895515890291684,80.10448410970832,0.0
23,2765,483,2282,0,17.468354430379744,82.53164556962025,0.0
